category,criterion,weight,status,score,severity,evidence,recommendation
statistics,Confidence intervals reported,2.5,PASS,2.5,none,Confidence-interval terminology searched.,Provide confidence intervals for key performance estimates.
statistics,Statistical significance testing reported,3.0,FAIL,0.0,critical,Statistical-test terminology searched.,Report the Friedman test and corrected pairwise comparisons already generated in WP1A.
statistics,Effect size or practical significance discussed,2.0,FAIL,0.0,major,Effect-size terminology searched.,"Discuss magnitude and practical relevance, not only statistical significance."
statistics,Class-level analysis reported,2.5,PASS,2.5,none,Class-level terminology detected.,Retain per-class evaluation and discuss difficult faults.
statistics,Sample size or support reported,2.0,PASS,2.0,none,Sample/support terminology detected.,Report sample counts and trajectory counts for each partition.
machine_learning,At least three baseline models,3.0,PASS,3.0,none,"Algorithms detected: ['Logistic Regression', 'Random Forest', 'SVM', 'Decision Tree']","Include diverse linear, tree-based, and ensemble baselines."
machine_learning,Strong nonlinear baseline included,2.5,PASS,2.5,none,Tree ensemble terminology searched.,Include at least one strong tree-based ensemble baseline.
machine_learning,Linear baseline included,2.0,PASS,2.0,none,Linear baseline terminology searched.,Include a linear baseline for interpretability and difficulty calibration.
machine_learning,Model selection procedure described,2.5,FAIL,0.0,major,Model-selection terminology searched.,Describe how validation data guided model selection without test leakage.
machine_learning,Class imbalance considered,2.0,FAIL,0.0,major,Class-imbalance terminology searched.,"Discuss class balance, sampling, and metric choice."
machine_learning,Confusion matrix or error analysis present,2.5,PASS,2.5,none,Error-analysis terminology searched.,Include and discuss confusion matrices and dominant error modes.
machine_learning,Independent test evaluation reported,2.5,PASS,2.5,none,Independent-test terminology searched.,Clearly distinguish validation results from final held-out test results.
machine_learning,No data leakage risk acknowledged,1.5,PASS,1.5,none,Leakage-control terminology searched.,Explicitly state that runs/trajectories were separated across partitions.
machine_learning,Interpretation beyond ranking,1.5,PASS,1.5,none,Interpretive terminology searched.,Explain why models differ and which process conditions drive performance.
reproducibility,Dataset source identified,2.5,PASS,2.5,none,Dataset source terminology searched.,Provide a persistent dataset URL or DOI and access date.
reproducibility,Code availability stated,2.5,FAIL,0.0,major,Code-availability terminology searched.,Add a Code Availability Statement with repository URL and release tag.
reproducibility,Data availability statement present,2.0,FAIL,0.0,major,Data-availability terminology searched.,Add a formal Data Availability Statement.
reproducibility,Software versions reported,2.0,FAIL,0.0,major,Software/version terminology searched.,Report Python and library versions.
reproducibility,Hardware reported,1.5,PASS,1.5,none,Hardware terminology searched.,"Report CPU, RAM, and GPU used for training and inference."
reproducibility,Random seed reported,1.5,FAIL,0.0,minor,Random-seed terminology searched.,Report all random seeds and deterministic settings.
reproducibility,Hyperparameters reproducible,1.5,PASS,1.5,none,Hyperparameter terminology searched.,Provide the final hyperparameter table or configuration file.
reproducibility,Environment or requirements available,1.5,FAIL,0.0,minor,Environment-file terminology searched.,Archive pyproject.toml or requirements lock file with the code.
